Country Name,Covid-19 Deaths,Cardiovascular diseases,Respiratory diseases ,Kidney diseases,Neonatal disorders ,Meningitis ,Malaria ,Interpersonal violence,HIV/AIDS,Tuberculosis,Maternal disorders,Lower respiratory infections,Alcohol use disorders,Diarrheal diseases,Poisoning,Nutritional deficiencies, Alzheimer's disease,Parkinson's disease, Acute hepatitis,Digestive diseases, Cirrhosis and other chronic liver diseases,Protein-energy malnutrition,Neoplasms,"Fire, heat",Drowning,Drug use disorders,Road injuries,Environmental heat and cold exposure,Self-harm, Conflict and terrorism,Diabetes ,
Timor,122,2459,516,233,524,31,0,37,238,299,62,601,7,235,4,65,102,31,6,431,210,58,824,13,69,2,159,2,63,0,191,
Togo,68,8361,1332,1004,4518,625,5436,559,3448,2124,551,4356,53,5848,104,237,400,111,86,2330,1272,220,3832,153,147,18,1453,38,591,0,1046,
Tonga,5,178,42,32,12,5,0,2,2,5,2,34,1,3,1,4,18,5,4,37,19,3,127,3,5,0,10,0,5,0,82,
Trinidad and Tobago,127,4016,271,618,125,11,0,316,206,20,7,274,32,25,2,26,335,73,1,465,188,25,2017,21,37,10,186,1,155,0,1833,
Tunisia,4730,35007,2649,2634,894,85,0,78,148,121,55,1838,34,121,85,29,2547,485,87,2175,1367,22,10110,211,128,158,2473,8,410,15,1823,
Turkey,21093,176663,32981,19193,6943,351,0,1605,226,833,284,14868,240,732,453,1043,19721,3838,130,14116,7349,688,104816,419,694,345,7749,44,2585,309,19699,
Turkmenistan,,18323,442,712,1113,52,0,214,105,437,55,1284,180,75,37,11,582,108,43,2749,2381,6,3636,116,129,66,284,136,440,0,759,
Tuvalu,3,42,7,5,1,0,0,1,1,1,0,5,0,1,0,0,2,1,0,4,2,0,14,0,1,0,3,0,2,0,11,
Uganda,265,28149,5480,3386,30955,3941,22587,2378,20762,13886,2121,16497,261,10955,545,3937,1854,417,390,9155,5189,3824,21648,616,751,46,5563,152,2167,61,5033,
Ukraine,19437,449376,12181,2660,1305,399,0,5279,6643,4043,81,8734,7716,83,1539,139,16370,3586,72,30240,20141,67,99218,2198,3436,1477,6980,2733,13690,227,2821,
United Arab Emirates,671,8621,1778,1433,83,54,0,87,160,119,12,599,76,60,42,7,138,90,69,734,506,3,5473,190,174,805,3833,12,664,0,1325,
United Kingdom,74185,188113,51879,7776,1484,265,0,339,233,390,40,41877,1762,1419,135,159,32425,7906,22,33215,10031,118,195999,383,300,2654,2696,128,5618,2,6368,
United States,353948,957455,224988,106954,10994,1146,0,17709,7053,978,990,81921,14044,11727,1528,6090,143919,32211,131,129343,67286,5710,773895,3616,3615,65717,41362,1378,45349,31,77719,
Uruguay,193,10003,2155,989,148,14,0,212,177,56,10,1595,111,165,16,134,1497,349,1,1546,471,104,10084,67,71,15,560,6,666,0,895,
Uzbekistan,614,107394,3837,3971,5257,175,0,974,585,2445,228,10787,156,161,368,41,1119,544,130,15019,13042,9,22338,684,1597,188,4929,178,3793,0,8154,
Venezuela,1030,61510,7062,10405,3338,254,667,10944,1850,826,497,5555,188,1418,82,552,6313,1119,21,8601,4692,527,34771,196,524,90,6207,11,2310,0,10795,
Vietnam,35,240161,36229,21485,6468,747,59,1267,6399,18681,234,21345,1000,1672,935,954,19460,4259,674,31306,23637,95,112564,608,6098,1176,24153,82,8114,0,29391,
Wales,512,10519,2892,426,57,14,0,18,12,20,2,2591,90,76,8,10,1687,400,1,1798,581,7,10569,20,15,173,130,8,310,0,326,
Yemen,610,55752,5738,2676,18982,479,5089,820,347,1029,1705,6289,82,6614,450,1010,1731,413,523,4877,2786,941,12681,839,843,261,11717,43,1560,13402,1815,
Zambia,390,18157,2388,1931,9851,2065,4777,1616,22540,7056,804,8190,137,7224,309,1899,763,203,263,6528,4593,1828,9789,326,359,60,2285,84,1398,1,2573,
Zimbabwe,369,17810,2891,2292,8609,1450,2068,1434,20722,10465,1294,12897,53,4635,405,2884,812,232,136,4437,2065,2855,12353,662,827,127,2554,37,2403,11,3460,
