Country Name,Covid-19 Deaths,Cardiovascular diseases,Respiratory diseases ,Kidney diseases,Neonatal disorders ,Meningitis ,Malaria ,Interpersonal violence,HIV/AIDS,Tuberculosis,Maternal disorders,Lower respiratory infections,Alcohol use disorders,Diarrheal diseases,Poisoning,Nutritional deficiencies, Alzheimer's disease,Parkinson's disease, Acute hepatitis,Digestive diseases, Cirrhosis and other chronic liver diseases,Protein-energy malnutrition,Neoplasms,"Fire, heat",Drowning,Drug use disorders,Road injuries,Environmental heat and cold exposure,Self-harm, Conflict and terrorism,Diabetes ,
Lithuania,1837,21301,779,262,29,16,0,150,61,152,2,531,317,14,83,4,1542,276,1,1882,830,2,7870,60,168,169,262,200,857,0,238,
Luxembourg,495,1332,221,119,6,1,0,7,2,2,0,137,28,17,1,8,241,57,0,212,90,7,1295,3,3,15,38,1,69,0,68,
Madagascar,261,35397,6030,1938,12504,2084,5920,517,2530,12268,2348,13674,159,18314,379,5285,859,208,249,7189,4524,5104,11011,405,437,49,2931,140,1522,139,2848,
Malawi,191,15650,2402,1783,10220,2369,7076,333,14227,7861,1151,9206,126,7596,290,2062,1019,214,300,5845,3691,1979,10110,321,356,39,2077,85,1209,0,2497,
Malaysia,474,58824,7473,6105,1319,291,5,577,1521,1992,255,21711,176,1361,206,239,3667,1019,202,10072,4783,230,31294,311,774,138,7592,13,1803,0,3779,
Maldives,48,522,123,89,75,2,0,10,1,14,7,35,1,11,0,5,48,11,0,49,33,3,214,5,20,2,22,0,20,0,52,
Mali,271,19519,4574,2698,32006,6260,18000,2315,4496,5638,3520,15184,100,13882,565,14865,1226,325,411,6246,3267,14535,9336,759,993,19,2757,134,947,1170,2755,
Malta,219,1491,157,105,11,2,0,5,1,1,0,192,3,3,1,1,220,52,0,124,40,1,1002,2,4,9,15,1,24,0,123,
Mauritania,349,3952,525,590,1892,217,1997,200,21,482,500,1797,18,1539,32,279,347,85,26,1026,603,262,2064,57,43,5,836,12,155,0,625,
Mauritius,10,3309,537,1260,87,5,0,32,91,15,7,289,76,30,4,16,323,63,1,398,263,16,1517,21,37,14,165,0,113,0,1899,
Mexico,126507,167535,38524,72539,12384,522,1,30673,5034,2596,1019,22592,4518,4932,471,7558,23657,4973,242,71124,46328,6745,106421,1147,2373,596,21103,152,7805,0,73838,
Micronesia ,2,331,57,49,9,2,0,9,45,11,2,38,2,9,1,3,8,5,0,34,20,2,112,1,12,1,23,0,23,0,109,
Moldova,3004,23438,971,245,142,20,0,208,163,184,6,872,439,8,180,2,1259,163,1,3513,2745,1,6245,97,167,28,360,193,549,0,284,
Monaco,3,161,20,8,0,0,0,0,1,1,0,25,0,0,0,0,28,7,0,18,7,0,225,0,1,0,2,0,5,0,4,
Mongolia,1,9806,453,391,565,24,0,288,15,371,41,530,584,49,89,15,225,53,15,2185,1656,0,5961,99,159,20,672,263,592,0,139,
Montenegro,684,3943,85,127,13,1,0,21,1,4,0,69,8,1,3,1,185,57,0,153,50,1,1644,12,9,1,59,5,117,0,152,
Morocco,7425,117034,9373,9320,5135,400,0,350,494,3932,567,6248,111,1375,232,215,4945,1390,386,7422,4551,171,27967,808,354,407,9184,104,2566,0,6617,
Mozambique,167,31692,3759,2645,24317,2729,20528,1811,66304,20700,2072,15524,258,8867,618,3530,1529,341,481,7034,2547,3362,13531,687,716,135,4979,160,2440,159,4712,
Myanmar,2697,138139,43284,11554,16065,1246,294,704,4773,14313,1653,21453,388,6700,1008,1386,6784,1726,251,25895,20361,1185,52674,287,3052,214,5739,14,1956,617,22619,
Namibia,208,3747,791,349,882,100,192,438,3772,831,77,1461,28,696,29,189,228,53,8,729,339,184,1600,88,73,6,575,17,261,0,790,
Nauru,3,23,3,3,3,0,0,1,1,1,0,4,0,0,0,0,0,0,0,2,2,0,8,0,1,0,3,0,2,0,6,
Nepal,1864,46501,40800,5108,8397,469,1,535,1434,7488,1714,8760,227,5627,498,1300,2448,875,543,11323,7945,988,21609,191,1476,36,2721,227,3528,21,3474,
Netherlands,11556,42569,10766,3780,308,96,0,144,49,99,7,6330,480,425,14,210,8715,1919,5,6478,1810,126,56513,108,80,176,810,16,2017,0,3357,
New Zealand,25,11948,2396,915,101,13,0,58,9,18,6,896,57,80,8,15,2066,403,1,1088,297,12,10584,23,50,65,352,7,512,0,670,
Nicaragua,165,8202,1343,3475,630,44,3,395,561,143,53,1011,387,195,22,145,706,218,6,2237,1623,143,4429,24,172,12,742,4,355,0,1904,
Niger,106,17201,3619,2201,22546,7772,23822,1962,1423,5882,3504,23642,101,28694,482,2449,854,238,355,6499,3325,2371,6976,708,891,14,2785,124,972,395,2108,
Nigeria,1294,163496,24506,20045,195397,44914,191106,12958,82270,45278,17650,172978,1221,181138,3640,5496,12113,3334,2540,70077,40381,4996,81558,4017,3153,274,18508,927,7970,3086,24473,
Niue,4,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,
North Korea,,102586,31704,4318,1855,223,2,827,761,3242,182,6998,384,289,445,443,5208,1296,125,9205,5171,364,40841,305,1352,338,8382,109,2954,0,4066,
North Macedonia,2510,14023,652,363,113,5,0,44,2,38,1,181,27,7,9,1,437,180,1,593,317,0,5431,13,22,13,171,5,211,0,1064,
Northern Ireland,6,5024,1436,241,56,8,0,13,7,11,2,1172,65,39,5,5,815,203,1,876,272,4,5308,11,9,61,85,4,201,0,182,
Norway,436,12724,2771,776,53,19,0,32,14,44,1,2036,241,349,20,101,2633,503,2,1409,360,93,12675,54,52,239,202,32,562,0,666,
Oman,1499,4998,244,199,340,14,0,30,98,18,14,407,8,36,24,38,163,60,31,350,279,2,1368,22,115,17,2053,9,118,0,705,
Pakistan,10258,341108,82758,44390,249785,17987,4031,13446,3949,62774,16162,68193,2142,77024,2106,14631,10960,4273,8516,62351,44070,8452,179773,2778,3478,867,19348,436,17688,500,47693,
Palau,4,65,17,13,1,0,0,2,2,1,0,18,0,1,0,0,2,1,0,6,4,0,36,1,2,0,3,0,3,0,23,
Palestine,1418,6710,488,649,812,28,0,307,14,25,20,500,7,31,5,12,326,92,6,522,359,11,2907,41,48,8,391,2,124,60,1293,
Panama,4064,5318,877,1154,360,36,0,625,540,188,53,818,32,186,9,126,1054,190,1,935,503,119,3984,23,126,19,530,2,199,0,1217,
Papua New Guinea,9,15540,7154,741,4363,599,928,983,3830,1538,770,6311,99,3116,152,205,402,199,91,1368,660,202,5645,717,379,25,2232,29,289,0,4697,
Paraguay,2262,9912,1148,1883,549,65,0,823,570,242,114,1474,318,181,12,304,1261,214,2,1668,750,298,6141,60,181,15,1501,6,427,0,2447,
Peru,93231,29215,6961,8044,3933,143,19,1142,2401,1943,486,18179,342,1222,147,1300,7144,1464,30,11649,6828,1171,33395,278,688,166,4755,63,1016,0,4761,
