ID;Country;Year;Schizophrenia;Bipolar Disorder;Eating Disorders;Anxiety Disorders;Drug Use Disorders;Depressive Disorders;Alcohol Use Disorders;Total;Population;GDP Per Capita;Unemployment
IND1991;India;1991;0.283901656937;0.35967684705742;0.08762800249159;3.00525244239824;0.44149624031492;4.18420098069532;1.61895256848337;9.98110873837786;891273209;3030.55;5.6
IND1992;India;1992;0.28410900832346;0.35966006791121;0.08816289736437;2.98830959361258;0.44290367686793;4.31238565537843;1.61932298150598;10.0948538809639;909307016;3169.53;5.73
IND1993;India;1993;0.2842597212316;0.35963138113466;0.08872662006319;2.96920898758928;0.44401806295565;4.41498016649574;1.61950897952292;10.180333918993;927403860;3011.59;5.69
IND1994;India;1994;0.2843494157498;0.35959329605063;0.08927922632259;2.94901883647828;0.4447984665285899;4.48443349245103;1.61931160964895;10.2307843432298;945601831;3461.02;5.74
IND1995;India;1995;0.28437523227837;0.35954668156064;0.08984235559345;2.92866764672668;0.44525396392296;4.51235831396631;1.61873829929408;10.2387824933424;963922588;3737.66;5.76
IND1996;India;1996;0.2843254711180999;0.35951429035371;0.09046746928355;2.88904194462059;0.44505621286884;4.50491758153839;1.61951794760774;10.1928409173909;982365243;3999.5;5.74
IND1997;India;1997;0.28421376862496;0.3595028663570699;0.09113557040091;2.82385282211765;0.44444717837366;4.47915908327227;1.62257607403464;10.1048873631811;1000900030;4154.93;5.61
IND1998;India;1998;0.28408469782982;0.3595019357586;0.09193313192132;2.75326791906724;0.4435423470702699;4.44784826052474;1.62681240739786;10.0069906995698;1019483581;4132.98;5.67
IND1999;India;1999;0.28398155299432;0.35949977164441;0.09278109013069;2.69727365492331;0.44272401682119;4.42191763346524;1.63106735477423;9.92924507475339;1038058156;4419.98;5.74
IND2000;India;2000;0.2839475143293899;0.35948807587901;0.09367165256097;2.6758617198064;0.44251951619445;4.41378633224888;1.63405786259279;9.9033326736119;1056575549;4433.14;5.56
IND2001;India;2001;0.28404087966926;0.35950420488508;0.09466130672491;2.68142841426411;0.4422592721839999;4.43391388209158;1.63834396358789;9.93415192340685;1075000085;4515.72;5.58
IND2002;India;2002;0.28425005622294;0.3595759660934;0.09585577894073;2.69207130369082;0.44216465906916;4.47384636429237;1.6453514901232;9.99311561843262;1093317189;4709.86;5.53
IND2003;India;2003;0.28451464919036;0.35968528340078;0.0971273822569;2.70614171322286;0.44197500197169;4.51997418463841;1.6520883918329;10.0615066065139;1111523144;5467.26;5.64
IND2004;India;2004;0.28477523834898;0.3598147812434299;0.09848584592314;2.72199717047023;0.44188510350723;4.55714804816254;1.65571623893357;10.1198224265891;1129623456;6277.74;5.63
IND2005;India;2005;0.28497190393262;0.3599438423233499;0.09997289966222;2.73795445584534;0.44196377487431;4.57080956999168;1.653416224062;10.1490326706915;1147609927;7148.61;5.61
IND2006;India;2006;0.28512029143211;0.36014063833186;0.10153839127912;2.77508137562441;0.4441773537111;4.49198660349802;1.62196092400451;10.0800055778811;1165486291;8067.53;5.6
IND2007;India;2007;0.28529144158964;0.3604507938461;0.10350333446548;2.84271134447561;0.44893624503355;4.30824806475468;1.55399303230311;9.90313425646818;1183209472;1028.33;5.57
IND2008;India;2008;0.28551356073614;0.36082648059945;0.10565003772146;2.92139476570201;0.4546180043135;4.08736740448956;1.47062531265662;9.68599556621874;1200669765;9985.22;5.41
IND2009;India;2009;0.28579975867497;0.36120011577484;0.1078190791434999;2.99142759450335;0.45954705900914;3.89940834368818;1.3930086536448;9.49821060443878;1217726215;1101.96;5.54
IND2010;India;2010;0.28615352091693;0.36149005078807;0.11000442558394;3.03285173440644;0.46200333845542;3.81420509218345;1.34248512298195;9.4091932853162;1234281170;1357.56;5.55
IND2011;India;2011;0.28705433377458;0.3617068013969099;0.11221336726968;3.05275148728764;0.46249255208138;3.80656984333042;1.31387133739385;9.39665972253447;1250288729;1458.1;5.43
IND2012;India;2012;0.28868233517667;0.36191496306659;0.11452764347422;3.07121234690724;0.46260555654213;3.8040118167242;1.28870326402187;9.39165792591292;1265782790;1443.88;5.41
IND2013;India;2013;0.29059060719461;0.36210876294549;0.11691310709893;3.08761176652571;0.46259570435405;3.8045812184705;1.26861568200056;9.39301684858986;1280846129;1449.61;5.42
IND2014;India;2014;0.29232844072544;0.3622808220474;0.11949144180121;3.10127150197982;0.46294646254453;3.8061279880846;1.25523846351441;9.39968512069742;1295604184;1573.88;5.44
IND2015;India;2015;0.29344151283218;0.36242348205549;0.12211604330617;3.11143474744178;0.4636654302501999;3.80588969707461;1.25018462899694;9.40915554195737;1310152403;1605.6;5.43
IND2016;India;2016;0.29421581291916;0.36245582845619;0.12539003542256;3.11985528949064;0.49124740283543;3.80420977248734;1.25166621260644;9.44904035421776;1324509589;1732.55;5.42
IND2017;India;2017;0.29465624018922;0.36246625883881;0.12838039735847;3.1242022300723;0.51904937679637;3.8019863101707;1.25205334953635;9.48279416296222;1338658835;1980.66;5.36
IND2018;India;2018;0.2939556643718999;0.36258887809061;0.13053071881152;3.09861781818854;0.51967274957358;3.78461023002205;1.22776243711062;9.41773849616882;1352617328;1998.25;5.33
IND2019;India;2019;0.29217800339342;0.36277395183747;0.132427415573;3.03974741008253;0.52004421366915;3.74903409125252;1.17615595397593;9.27236103978403;1366417754;2072.24;5.27
IDN1991;Indonesia;1991;0.28741280032028;0.3374545402565599;0.08443972626377;3.4707767133985;0.42892222202299;2.46973089448813;0.46728670275818;7.54602359950841;184591903;6317.82;2.62
IDN1992;Indonesia;1992;0.2886701711999699;0.33773261775406;0.08561648151736;3.4800243469154;0.4297049005953799;2.46151646518334;0.46548886956359;7.5487538527291;187739786;6819.38;2.73
IDN1993;Indonesia;1993;0.28978122140063;0.33802305198896;0.0866675365806299;3.48851292312149;0.43051076918133;2.45509430031658;0.46416744187441;7.55275724446403;190851175;8279.05;2.78
IDN1994;Indonesia;1994;0.29068604479037;0.3383114771728099;0.08754325970013;3.4956885237371;0.43130700924237;2.45111687243454;0.46347015046556;7.55812333754288;193917462;9122.03;4.37
IDN1995;Indonesia;1995;0.29132482826174;0.33858338656753;0.08819912387292;3.50104001987202;0.4318591805538899;2.45010413697173;0.46354155160985;7.56465222770968;196934260;1026.39;4.6
IDN1996;Indonesia;1996;0.29180442022378;0.33892715206355;0.08860692770951;3.50625070843501;0.43324330917915;2.45142362335978;0.46436499606099;7.57462113703177;199901228;1137.41;4.86
