           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2017;Tahun;59.78;Peran DPRD
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2017;Tahun;71.64;Peran Partai Politik
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2017;Tahun;56.26;Peran Birokrasi Pemerintah Daerah
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2017;Tahun;86.31;Peran Peradilan yang Independen
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;81.88;Kebebasan Berkumpul dan Berserikat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;72.17;Kebebasan Berpendapat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;81.69;Kebebasan Berkeyakinan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;87.43;Kebebasan dari Diskriminasi
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;75.26;Hak Memilih dan Dipilih
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;61.24;Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;95.48;Pemilu yang Bebas dan Adil
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;46.76;Peran DPRD
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;52.29;Peran Partai Politik
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;47.51;Peran Birokrasi Pemerintah Daerah
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;91.36;Peran Peradilan yang Independen
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2016;Tahun;82.79;Kebebasan Berkumpul dan Berserikat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;62.21;Kebebasan Berpendapat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;80.5;Kebebasan Berkeyakinan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;87.6;Kebebasan dari Diskriminasi
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;75.26;Hak Memilih dan Dipilih
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;60.59;Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;95.48;Pemilu yang Bebas dan Adil
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;42.9;Peran DPRD
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;59.09;Peran Partai Politik
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;53.11;Peran Birokrasi Pemerintah Daerah
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;92.28;Peran Peradilan yang Independen
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;86.06;Kebebasan Berkumpul dan Berserikat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;67.51;Kebebasan Berpendapat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;83.13;Kebebasan Berkeyakinan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;86.71;Kebebasan dari Diskriminasi
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;75.76;Hak Memilih dan Dipilih
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;50.28;Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;95.36;Pemilu yang Bebas dan Adil
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;39.98;Peran DPRD
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;61.71;Peran Partai Politik
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;99.38;Peran Birokrasi Pemerintah Daerah
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2014;Tahun;86.29;Peran Peradilan yang Independen
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2015;Tahun;86.65;Kebebasan Berkumpul dan Berserikat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;69.15;Kebebasan Berpendapat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;81.13;Kebebasan Berkeyakinan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;86.22;Kebebasan dari Diskriminasi
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;50.31;Hak Memilih dan Dipilih
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;45.61;Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;87.67;Pemilu yang Bebas dan Adil
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;36.62;Peran DPRD
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;35.51;Peran Partai Politik
