,Entity,Code,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent),Total,GDP,population
0,India,IND,1990,0.28363934990357,0.35967682413527,0.08717347962672,3.01908899803538,0.43983022681729,4.036883679140621,1.618483384323,9.844775941981851,3675.56,873277798
1,India,IND,1991,0.283901656937,0.35967684705742,0.08762800249159,3.00525244239824,0.44149624031492,4.18420098069532,1.61895256848337,9.981108738377861,3030.55,891273209
2,India,IND,1992,0.28410900832346,0.35966006791121,0.08816289736437,2.98830959361258,0.44290367686793,4.31238565537843,1.61932298150598,10.09485388096396,3169.53,909307016
3,India,IND,1993,0.2842597212316,0.35963138113466,0.08872662006319,2.96920898758928,0.44401806295565,4.41498016649574,1.61950897952292,10.180333918993039,3011.59,927403860
4,India,IND,1994,0.2843494157498,0.35959329605063,0.08927922632259,2.94901883647828,0.4447984665285899,4.48443349245103,1.6193116096489502,10.230784343229871,3461.02,945601831
5,India,IND,1995,0.28437523227837,0.35954668156064,0.08984235559345,2.92866764672668,0.44525396392296,4.512358313966311,1.61873829929408,10.238782493342491,3737.66,963922588
6,India,IND,1996,0.2843254711180999,0.35951429035371,0.09046746928355,2.88904194462059,0.44505621286884,4.504917581538391,1.61951794760774,10.192840917390921,3999.5,982365243
7,India,IND,1997,0.28421376862496,0.3595028663570699,0.09113557040091,2.82385282211765,0.44444717837366,4.47915908327227,1.6225760740346402,10.10488736318116,4154.93,1000900030
8,India,IND,1998,0.28408469782982,0.3595019357586,0.09193313192132,2.75326791906724,0.4435423470702699,4.44784826052474,1.62681240739786,10.006990699569851,4132.98,1019483581
9,India,IND,1999,0.28398155299432,0.35949977164441,0.09278109013069,2.6972736549233103,0.44272401682119,4.42191763346524,1.63106735477423,9.92924507475339,4419.98,1038058156
10,India,IND,2000,0.2839475143293899,0.35948807587901,0.09367165256097,2.6758617198064,0.44251951619445,4.41378633224888,1.6340578625927995,9.9033326736119,4433.14,1056575549
11,India,IND,2001,0.28404087966926,0.35950420488508,0.09466130672491,2.68142841426411,0.4422592721839999,4.4339138820915895,1.6383439635878998,9.93415192340685,4515.72,1075000085
12,India,IND,2002,0.28425005622294,0.3595759660934,0.09585577894073,2.69207130369082,0.44216465906916,4.47384636429237,1.6453514901232098,9.993115618432629,4709.86,1093317189
13,India,IND,2003,0.28451464919036,0.35968528340078,0.0971273822569,2.70614171322286,0.44197500197169,4.519974184638411,1.6520883918329,10.0615066065139,5467.26,1111523144
14,India,IND,2004,0.28477523834898,0.3598147812434299,0.09848584592314,2.72199717047023,0.44188510350723,4.55714804816254,1.65571623893357,10.11982242658912,6277.74,1129623456
15,India,IND,2005,0.28497190393262,0.3599438423233499,0.09997289966222,2.73795445584534,0.44196377487431,4.57080956999168,1.653416224062,10.149032670691518,7148.61,1147609927
16,India,IND,2006,0.28512029143211,0.36014063833186,0.10153839127912,2.77508137562441,0.4441773537111,4.49198660349802,1.62196092400451,10.08000557788113,8067.53,1165486291
17,India,IND,2007,0.28529144158964,0.3604507938461,0.10350333446548,2.8427113444756102,0.44893624503355,4.3082480647546895,1.55399303230311,9.90313425646818,1028.33,1183209472
18,India,IND,2008,0.28551356073614,0.36082648059945,0.10565003772146,2.92139476570201,0.4546180043135,4.08736740448956,1.47062531265662,9.685995566218741,9985.22,1200669765
19,India,IND,2009,0.28579975867497,0.36120011577484,0.1078190791434999,2.99142759450335,0.45954705900914,3.89940834368818,1.3930086536448,9.49821060443878,1101.96,1217726215
20,India,IND,2010,0.28615352091693,0.36149005078807,0.11000442558394,3.03285173440644,0.46200333845542,3.81420509218345,1.34248512298195,9.4091932853162,1357.56,1234281170
21,India,IND,2011,0.28705433377458,0.3617068013969099,0.11221336726968,3.05275148728764,0.46249255208138,3.8065698433304296,1.31387133739385,9.39665972253447,1458.1,1250288729
22,India,IND,2012,0.28868233517667,0.36191496306659,0.11452764347422,3.07121234690724,0.46260555654213,3.8040118167242,1.2887032640218798,9.391657925912929,1443.88,1265782790
23,India,IND,2013,0.29059060719461,0.36210876294549,0.11691310709893,3.08761176652571,0.46259570435405,3.8045812184705,1.2686156820005698,9.39301684858986,1449.61,1280846129
24,India,IND,2014,0.29232844072544,0.3622808220474,0.11949144180121,3.10127150197982,0.46294646254453,3.8061279880846,1.2552384635144198,9.39968512069742,1573.88,1295604184
25,India,IND,2015,0.29344151283218,0.36242348205549,0.12211604330617,3.11143474744178,0.4636654302501999,3.80588969707461,1.25018462899694,9.409155541957372,1605.6,1310152403
26,India,IND,2016,0.29421581291916,0.36245582845619,0.12539003542256,3.11985528949064,0.49124740283543,3.80420977248734,1.25166621260644,9.44904035421776,1732.55,1324509589
27,India,IND,2017,0.29465624018922,0.36246625883881,0.12838039735847,3.1242022300723,0.51904937679637,3.8019863101707,1.2520533495363502,9.48279416296222,1980.66,1338658835
28,India,IND,2018,0.2939556643718999,0.36258887809061,0.13053071881152,3.09861781818854,0.51967274957358,3.78461023002205,1.22776243711062,9.41773849616882,1998.25,1352617328
