provinsi;year;kebebasan_sipil;hak_politik;lembaga_demokrasi;IDI
ACEH;2017;87,27;63,94;61,47;70,89
JAWA TENGAH;2015;79,44;67,28;61,48;69,40
BENGKULU;2011;94,10;59,47;61,63;71,73
BENGKULU;2012;77,76;48,93;61,79;62,83
SULAWESI TENGGARA;2015;91,14;56,95;61,99;70,03
INDONESIA;2016;76,45;70,11;62,05;69,54
MALUKU;2012;76,05;45,08;62,27;61,13
RIAU;2016;71,78;77,98;62,34;70,70
SULAWESI BARAT;2015;81,88;61,16;62,37;68,47
JAWA BARAT;2012;65,93;46,58;62,51;58,34
SULAWESI UTARA;2017;90,87;72,12;62,54;75,18
MALUKU UTARA;2011;90,04;32,61;62,56;61,74
LAMPUNG;2015;71,99;63,19;62,74;65,97
SUMATERA UTARA;2014;79,86;61,97;62,75;68,19
PAPUA BARAT;2017;92,42;39,05;63,14;64,87
DKI JAKARTA;2016;81,11;67,54;63,19;70,61
KALIMANTAN TENGAH;2013;81,89;50,69;63,21;65,26
SUMATERA SELATAN;2013;91,45;50,32;63,22;68,33
NUSA TENGGARA TIMUR;2020;90,59;75,61;63,23;76,48
MALUKU UTARA;2013;83,67;48,94;63,40;65,34
SUMATERA UTARA;2015;82,02;62,17;63,52;69,24
SULAWESI SELATAN;2014;86,27;73,99;63,58;74,61
JAWA TIMUR;2016;73,73;76,49;63,63;71,28
PAPUA;2014;85,69;42,51;63,75;63,98
KEP. BANGKA BELITUNG;2018;80,95;73,56;63,76;72,76
ACEH;2011;58,65;47,90;63,77;56,77
RIAU;2015;66,46;66,61;63,80;65,62
KALIMANTAN TIMUR;2015;93,07;82,74;63,99;79,93
LAMPUNG;2016;60,49;59,32;64,31;61,37
SULAWESI BARAT;2016;82,89;69,02;64,47;72,13
KALIMANTAN UTARA;2016;100,00;66,64;64,48;77,04
KALIMANTAN BARAT;2016;83,29;75,70;64,54;74,51
MALUKU;2019;87,06;55,62;64,55;69,08
KALIMANTAN SELATAN;2020;69,59;83,53;64,59;72,57
SULAWESI BARAT;2013;88,51;44,05;64,94;65,83
ACEH;2015;74,81;63,98;64,97;67,92
BALI;2015;94,42;77,42;65,31;79,05
SULAWESI UTARA;2013;92,44;62,55;65,56;73,52
KEP. RIAU;2017;90,84;71,45;65,82;76,04
JAWA BARAT;2014;83,95;65,22;65,89;71,69
SULAWESI UTARA;2011;98,44;52,86;66,03;72,44
KEP. RIAU;2015;80,16;65,01;66,13;70,43
GORONTALO;2013;79,31;58,26;66,22;67,93
NUSA TENGGARA BARAT;2013;59,68;49,60;66,24;58,51
SULAWESI TENGAH;2017;90,04;55,88;66,44;70,79
NUSA TENGGARA TIMUR;2016;96,25;81,68;66,46;81,46
PAPUA;2012;91,11;32,99;66,50;63,53
SULAWESI TENGAH;2015;94,60;68,85;66,53;76,66
SUMATERA SELATAN;2016;91,17;81,94;66,53;79,88
MALUKU UTARA;2012;88,15;50,13;66,55;68,28
MALUKU UTARA;2020;84,35;64,88;66,56;71,93
KEP. RIAU;2014;82,47;58,35;66,61;69,14
JAWA TENGAH;2016;66,06;67,24;66,69;66,66
INDONESIA;2015;80,30;70,63;66,87;72,60
SULAWESI TENGGARA;2019;80,31;52,18;66,90;66,46
BALI;2020;96,86;69,07;66,90;77,61
KEP. RIAU;2018;91,05;77,54;66,90;78,50
PAPUA BARAT;2014;97,93;39,29;66,93;68,05
KALIMANTAN TENGAH;2015;85,07;68,31;67,05;73,48
SULAWESI TENGGARA;2011;85,81;29,18;67,11;60,70
MALUKU UTARA;2016;92,27;61,79;67,59;73,88
SULAWESI UTARA;2020;93,18;74,83;67,80;78,60
KALIMANTAN BARAT;2015;96,81;65,57;67,95;76,78
GORONTALO;2011;81,80;44,36;68,08;64,75
KALIMANTAN TIMUR;2011;91,84;45,12;68,10;68,35
SULAWESI SELATAN;2013;81,30;50,62;68,10;66,67
MALUKU UTARA;2014;76,90;60,61;68,16;68,56
NUSA TENGGARA TIMUR;2013;95,59;58,83;68,23;74,22
SULAWESI BARAT;2011;94,80;42,65;68,26;68,57
MALUKU;2020;85,10;66,92;68,29;73,44
NUSA TENGGARA BARAT;2014;58,73;62,08;68,38;63,06
KALIMANTAN TENGAH;2016;84,98;70,66;68,43;74,69
KALIMANTAN TENGAH;2020;92,60;64,98;68,44;75,34
NUSA TENGGARA TIMUR;2019;93,97;78,58;68,62;80,39
BENGKULU;2019;93,98;73,17;68,63;78,59
BANTEN;2015;74,28;63,72;68,66;68,89
KALIMANTAN TIMUR;2017;83,33;67,18;68,72;73,08
GORONTALO;2017;85,30;68,18;68,73;74,07
KALIMANTAN BARAT;2019;92,59;71,45;68,74;77,59
SULAWESI TENGAH;2016;80,39;67,89;68,76;72,35
SUMATERA UTARA;2017;74,75;62,29;68,87;68,64
SULAWESI TENGGARA;2020;84,61;53,61;68,92;69,05
KEP. RIAU;2012;82,68;49,98;68,95;67,20
KALIMANTAN UTARA;2018;97,36;75,80;68,95;80,70
SUMATERA SELATAN;2017;90,83;63,90;69,03;74,59
JAMBI;2019;76,67;64,63;69,21;70,17
INDONESIA;2012;77,94;46,33;69,28;64,52
KEP. RIAU;2020;92,66;68,67;69,47;76,93
KEP. BANGKA BELITUNG;2015;81,25;66,95;69,60;72,60
KALIMANTAN TIMUR;2012;97,16;51,69;69,68;72,84
SULAWESI TENGGARA;2017;77,66;60,49;69,74;69,30
KALIMANTAN TIMUR;2014;93,28;70,42;69,94;77,88
PAPUA;2011;87,73;29,43;70,04;62,40
MALUKU;2014;90,85;60,03;70,09;73,66
MALUKU;2016;87,17;76,18;70,13;77,83
BANTEN;2012;79,20;51,03;70,42;66,88
LAMPUNG;2011;93,14;61,15;70,64;74,98
NUSA TENGGARA TIMUR;2015;93,19;71,69;70,73;78,54
JAWA BARAT;2019;65,16;71,15;70,75;69,02
SULAWESI SELATAN;2020;68,40;64,99;70,77;68,05
NUSA TENGGARA BARAT;2012;58,31;49,60;70,85;59,59
SULAWESI SELATAN;2016;75,54;61,51;70,86;69,30
SULAWESI TENGGARA;2014;90,89;53,20;70,92;71,67
PAPUA;2013;90,21;31,37;71,01;64,20
SUMATERA UTARA;2019;72,54;61,59;71,12;68,42
NUSA TENGGARA BARAT;2016;65,06;62,08;71,13;66,09
BALI;2016;96,94;69,60;71,18;79,24
SULAWESI TENGAH;2011;92,23;37,01;71,36;66,87
SULAWESI BARAT;2017;73,56;60,84;71,39;68,60
SULAWESI SELATAN;2015;69,38;64,25;71,84;68,49
MALUKU;2013;81,52;50,53;71,95;68,00
KALIMANTAN TIMUR;2018;90,99;61,38;72,22;74,86
SULAWESI SELATAN;2017;77,48;64,58;72,23;71,43
SUMATERA SELATAN;2019;80,54;81,95;72,23;78,24
INDONESIA;2013;79,00;46,25;72,24;65,83
MALUKU;2018;81,38;72,86;72,32;75,52
KEP. BANGKA BELITUNG;2011;88,27;47,11;72,33;69,24
LAMPUNG;2018;77,29;59,53;72,35;69,72
INDONESIA;2017;78,75;66,63;72,49;72,62
SULAWESI UTARA;2015;86,71;77,92;72,53;79,05
SULAWESI TENGAH;2012;93,43;37,65;72,55;67,88
BENGKULU;2020;87,61;59,64;72,76;73,34
KEP. BANGKA BELITUNG;2017;83,07;82,30;72,89;79,42
KALIMANTAN SELATAN;2016;61,04;83,58;72,89;72,50
JAMBI;2018;72,88;62,76;72,92;69,52
JAWA BARAT;2020;69,57;71,64;73,01;71,41
JAWA TENGAH;2011;84,05;46,29;73,04;67,79
KALIMANTAN BARAT;2018;93,87;64,01;73,08;76,99
KEP. RIAU;2019;92,66;78,30;73,10;81,35
SUMATERA SELATAN;2020;80,32;71,39;73,25;74,99
RIAU;2017;82,03;66,57;73,41;74,00
DI YOGYAKARTA;2017;93,25;82,31;73,55;83,04
KEP. RIAU;2011;87,15;56,00;73,66;72,27
BENGKULU;2017;88,51;59,42;74,03;73,99
BENGKULU;2018;78,77;62,18;74,13;71,69
BENGKULU;2014;79,49;63,98;74,16;72,54
JAMBI;2013;84,95;41,91;74,34;67,07
GORONTALO;2016;82,35;75,54;74,42;77,44
SULAWESI TENGGARA;2016;88,07;55,51;74,66;72,75
DKI JAKARTA;2013;88,72;55,08;74,69;72,83
RIAU;2014;74,35;59,74;74,69;69,59
INDONESIA;2011;80,79;47,54;74,72;67,68
ACEH;2020;84,49;64,94;74,91;74,78
BANTEN;2017;85,16;63,87;74,98;74,67
INDONESIA;2018;78,46;65,79;75,25;73,17
JAWA TENGAH;2018;76,21;66,92;75,42;72,85
SULAWESI BARAT;2020;86,38;61,09;75,45;74,31
KEP. BANGKA BELITUNG;2019;84,12;71,71;75,48;77,10
MALUKU;2011;90,70;46,14;75,61;70,82
BENGKULU;2015;78,50;68,45;75,61;74,19
INDONESIA;2020;79,40;67,85;75,66;74,30
INDONESIA;2014;82,62;63,72;75,81;74,05
SULAWESI UTARA;2019;95,19;63,54;75,82;78,18
JAWA TIMUR;2018;77,21;67,45;75,97;73,54
SUMATERA SELATAN;2018;83,13;73,12;76,01;77,42
KALIMANTAN TIMUR;2020;96,13;74,56;76,01;82,23
JAWA BARAT;2013;79,84;46,74;76,05;67,54
MALUKU;2017;81,78;74,85;76,15;77,59
KEP. RIAU;2013;80,08;49,63;76,21;68,64
SULAWESI BARAT;2012;88,67;35,92;76,22;66,94
KALIMANTAN BARAT;2012;92,37;37,18;76,23;68,59
GORONTALO;2018;79,33;64,95;76,26;73,51
SUMATERA SELATAN;2012;93,26;55,21;76,42;74,96
SULAWESI TENGAH;2013;90,03;36,78;76,44;67,75
BANTEN;2020;87,42;66,18;76,55;76,72
JAWA TIMUR;2017;78,98;60,98;76,57;72,18
SULAWESI UTARA;2014;93,56;80,89;76,68;83,71
GORONTALO;2019;75,17;76,93;76,70;76,27
BALI;2017;95,51;66,80;76,85;79,72
SULAWESI UTARA;2018;88,90;69,53;76,86;78,43
ACEH;2013;71,78;48,59;76,97;65,78
LAMPUNG;2017;74,12;67,20;77,00;72,77
BENGKULU;2016;85,14;63,84;77,01;75,33
SUMATERA SELATAN;2011;84,05;49,41;77,05;70,17
KEP. BANGKA BELITUNG;2013;85,16;50,60;77,09;70,95
SUMATERA BARAT;2013;54,88;38,97;77,17;57,01
JAMBI;2017;86,81;62,08;77,27;75,39
BALI;2013;92,55;52,87;77,38;74,27
SULAWESI BARAT;2018;87,41;55,05;77,45;73,30
JAWA TENGAH;2012;75,03;46,29;77,46;66,26
KALIMANTAN SELATAN;2014;58,43;76,45;77,53;70,80
JAWA TENGAH;2020;73,68;75,46;77,60;75,58
KALIMANTAN BARAT;2020;96,84;70,78;77,65;81,76
DI YOGYAKARTA;2018;90,60;75,07;77,66;81,11
ACEH;2018;96,79;68,09;77,67;80,85
JAMBI;2015;75,89;62,12;77,72;71,91
BANTEN;2019;83,83;60,29;78,01;74,04
SULAWESI TENGGARA;2018;79,77;67,59;78,16;75,17
DI YOGYAKARTA;2019;92,90;72,51;78,25;81,22
SUMATERA SELATAN;2014;86,09;63,57;78,53;76,06
JAWA TIMUR;2014;81,62;56,29;78,54;72,15
INDONESIA;2019;77,20;70,71;78,73;75,55
JAWA TENGAH;2017;69,07;67,24;78,82;71,71
MALUKU UTARA;2018;78,94;62,39;78,92;73,42
KALIMANTAN UTARA;2017;98,57;68,54;78,93;82,01
ACEH;2019;93,28;65,22;79,08;79,19
LAMPUNG;2012;94,14;50,60;79,16;74,63
LAMPUNG;2019;78,46;63,70;79,22;73,79
KALIMANTAN TENGAH;2019;86,31;78,24;79,32;81,29
NUSA TENGGARA TIMUR;2017;79,69;69,75;79,39;76,28
BANTEN;2018;86,59;60,11;79,40;75,37
GORONTALO;2014;82,19;63,67;79,41;75,09
BALI;2014;92,16;61,27;79,56;77,66
SULAWESI SELATAN;2018;72,44;64,05;79,75;72,08
SUMATERA BARAT;2011;60,57;59,21;79,83;66,54
LAMPUNG;2020;68,55;71,64;79,95;73,38
KEP. BANGKA BELITUNG;2016;87,65;81,09;80,20;82,98
KALIMANTAN UTARA;2020;92,08;65,99;80,28;79,45
SULAWESI BARAT;2014;90,22;63,64;80,39;78,08
DI YOGYAKARTA;2020;96,46;70,54;80,43;82,48
KALIMANTAN UTARA;2019;96,60;74,92;80,46;83,99
JAWA TIMUR;2019;72,14;80,25;80,55;77,65
KALIMANTAN TENGAH;2018;90,09;50,46;80,65;73,73
SULAWESI UTARA;2012;95,64;58,65;80,77;78,35
JAWA TENGAH;2014;87,87;67,08;80,77;78,57
NUSA TENGGARA TIMUR;2011;96,79;47,56;80,97;75,11
KEP. BANGKA BELITUNG;2012;83,09;51,21;80,97;71,76
JAWA TIMUR;2020;80,51;56,43;81,09;72,68
SUMATERA BARAT;2012;57,10;50,85;81,32;63,09
SULAWESI SELATAN;2019;68,32;65,61;81,34;71,76
JAWA TIMUR;2015;85,26;67,44;81,39;78,03
KALIMANTAN TENGAH;2014;92,93;66,42;81,48;80,28
JAWA BARAT;2011;78,92;46,42;81,55;68,96
LAMPUNG;2013;70,75;45,47;81,58;65,93
GORONTALO;2015;81,35;69,97;81,81;77,71
RIAU;2012;80,21;47,16;81,89;69,75
SUMATERA BARAT;2015;52,99;69,77;82,01;68,26
SULAWESI TENGAH;2020;97,93;54,46;82,04;78,14
JAWA TIMUR;2013;71,37;35,43;82,10;62,97
KALIMANTAN TIMUR;2019;88,50;66,27;82,17;78,98
JAMBI;2012;86,23;46,60;82,18;71,67
JAMBI;2011;91,62;46,27;82,27;73,39
RIAU;2013;77,71;52,19;82,32;70,74
DI YOGYAKARTA;2015;90,41;77,98;82,38;83,59
KALIMANTAN TENGAH;2017;95,58;56,69;82,50;78,26
DI YOGYAKARTA;2012;87,39;55,52;82,52;75,14
KALIMANTAN SELATAN;2013;58,03;56,35;82,54;65,64
KALIMANTAN SELATAN;2019;68,01;86,52;82,67;79,07
KALIMANTAN SELATAN;2011;56,33;64,25;82,76;67,78
DI YOGYAKARTA;2011;87,22;52,35;82,81;74,13
KALIMANTAN SELATAN;2015;54,15;85,77;83,17;74,36
RIAU;2011;83,12;52,90;83,18;73,07
DKI JAKARTA;2015;89,64;83,19;83,26;85,36
SULAWESI TENGAH;2014;86,56;59,01;83,42;76,33
RIAU;2020;86,08;65,40;83,46;78,31
SULAWESI BARAT;2019;81,58;70,22;83,60;78,47
LAMPUNG;2014;72,06;63,69;83,66;73,14
DI YOGYAKARTA;2013;90,78;50,65;83,69;75,04
NUSA TENGGARA TIMUR;2012;91,06;50,89;84,15;75,37
RIAU;2019;85,15;61,68;84,19;77,01
NUSA TENGGARA TIMUR;2018;94,00;71,85;84,28;83,38
SULAWESI SELATAN;2012;87,07;43,74;84,66;71,82
BANTEN;2013;81,39;51,03;85,00;72,47
BALI;2011;95,44;50,08;85,79;77,10
KALIMANTAN TENGAH;2012;68,44;51,05;85,82;68,44
KALIMANTAN BARAT;2014;98,44;63,12;85,84;82,47
BALI;2012;94,18;45,00;86,01;75,06
NUSA TENGGARA BARAT;2018;78,28;62,08;86,11;75,49
