Month,Coconut Oil Price,Coconut Oil Price Change,Olive Oil Price,Olive Oil Price Change,Palm Kernel Oil Price,Palm Kernel Oil Price Change,Palm Oil Price,Palm Oil Price Change,Peanut Oil Price,Peanut Oil Price Change,Rapeseed Oil Price,Rapeseed Oil Price Change,Soybean Oil Price,Soybean Oil Price Change,Sunflower Oil Price,Sunflower Oil Price Change
Jan 2020,992.66,-2.26%,"2,687.32",-5.70%,954.70,1.06%,834.85,8.43%,"1,492.61",2.38%,941.46,1.83%,873.66,6.47%,840.33,4.37%
Feb 2020,844.12,-14.96%,"2,737.94",1.88%,801.84,-16.01%,728.81,-12.70%,"1,393.46",-6.64%,902.34,-4.16%,800.41,-8.38%,823.00,-2.06%
Mar 2020,837.72,-0.76%,"2,796.26",2.13%,691.04,-13.82%,636.25,-12.70%,"1,412.91",1.40%,796.67,-11.71%,747.80,-6.57%,730.00,-11.30%
Apr 2020,834.51,-0.38%,"2,775.09",-0.76%,720.69,4.29%,608.88,-4.30%,"1,527.27",8.09%,758.96,-4.73%,679.98,-9.07%,732.10,0.29%
May 2020,832.33,-0.26%,"2,754.38",-0.75%,684.95,-4.96%,576.56,-5.31%,"1,588.02",3.98%,799.83,5.39%,684.78,0.71%,738.26,0.84%
Jun 2020,916.38,10.10%,"2,842.24",3.19%,724.62,5.79%,656.49,13.86%,"1,712.82",7.86%,850.98,6.40%,755.71,10.36%,788.36,6.79%
Jul 2020,888.31,-3.06%,"2,868.08",0.91%,683.93,-5.62%,694.16,5.74%,"1,876.87",9.58%,890.21,4.61%,821.11,8.65%,833.17,5.68%
Aug 2020,981.30,10.47%,"2,995.76",4.45%,739.17,8.08%,760.30,9.53%,"1,876.96",0.00%,921.55,3.52%,866.94,5.58%,877.14,5.28%
Sep 2020,"1,034.18",5.39%,"3,094.02",3.28%,767.84,3.88%,796.22,4.72%,"1,880.71",0.20%,938.14,1.80%,905.86,4.49%,"1,041.73",18.76%
Oct 2020,"1,118.36",8.14%,"3,285.64",6.19%,805.91,4.96%,819.27,2.89%,"1,877.59",-0.17%,927.71,-1.11%,914.77,0.98%,"1,040.69",-0.10%
Nov 2020,"1,368.95",22.41%,"1,389.97",-57.70%,"1,073.48",33.20%,917.81,12.03%,"1,878.61",0.05%,"1,047.78",12.94%,973.88,6.46%,"1,176.12",13.01%
Dec 2020,"1,464.96",7.01%,"1,313.41",-5.51%,"1,224.87",14.10%,"1,016.37",10.74%,"1,977.17",5.25%,"1,097.63",4.76%,"1,026.20",5.37%,"1,240.71",5.49%
Jan 2021,"1,463.07",-0.13%,"3,468.29",164.07%,"1,368.31",11.71%,990.27,-2.57%,"1,988.94",0.60%,"1,141.24",3.97%,"1,098.67",7.06%,"1,276.12",2.85%
Feb 2021,"1,444.50",-1.27%,"3,898.12",12.39%,"1,359.50",-0.64%,"1,019.86",2.99%,"1,993.21",0.21%,"1,272.13",11.47%,"1,123.50",2.26%,"1,362.57",6.77%
Mar 2021,"1,540.65",6.66%,"3,933.92",0.92%,"1,478.59",8.76%,"1,030.48",1.04%,"2,006.04",0.64%,"1,321.88",3.91%,"1,284.81",14.36%,"1,611.11",18.24%
Apr 2021,"1,659.64",7.72%,"4,124.21",4.84%,"1,487.14",0.58%,"1,078.05",4.62%,"2,020.64",0.73%,"1,312.33",-0.72%,"1,386.35",7.90%,"1,572.80",-2.38%
May 2021,"1,715.24",3.35%,"4,397.94",6.64%,"1,530.50",2.92%,"1,136.46",5.42%,"2,072.04",2.54%,"1,531.38",16.69%,"1,574.67",13.58%,"1,584.59",0.75%
Jun 2021,"1,670.68",-2.60%,"4,489.52",2.08%,"1,400.45",-8.50%,"1,004.42",-11.62%,"2,078.83",0.33%,"1,527.59",-0.25%,"1,518.16",-3.59%,"1,296.75",-18.16%
Jul 2021,"1,584.09",-5.18%,"4,402.40",-1.94%,"1,274.09",-9.02%,"1,062.99",5.83%,"2,092.19",0.64%,"1,410.08",-7.69%,"1,468.34",-3.28%,"1,282.01",-1.14%
Aug 2021,"1,493.64",-5.71%,"4,383.35",-0.43%,"1,341.14",5.26%,"1,141.82",7.42%,"2,102.29",0.48%,"1,519.19",7.74%,"1,433.94",-2.34%,"1,355.69",5.75%
Sep 2021,"1,485.00",-0.58%,"4,441.54",1.33%,"1,427.27",6.42%,"1,181.38",3.46%,"2,109.02",0.32%,"1,629.14",7.24%,"1,398.75",-2.45%,"1,309.52",-3.41%
Oct 2021,"1,922.86",29.49%,"4,366.58",-1.69%,"1,818.33",27.40%,"1,310.25",10.91%,"2,133.67",1.17%,"1,795.17",10.19%,"1,483.52",6.06%,"1,420.53",8.48%
Nov 2021,"1,960.68",1.97%,"4,186.37",-4.13%,"2,050.23",12.75%,"1,340.65",2.32%,"2,150.21",0.78%,"1,825.34",1.68%,"1,442.96",-2.73%,"1,415.62",-0.35%
Dec 2021,"1,695.71",-13.51%,"4,124.93",-1.47%,"1,861.43",-9.21%,"1,270.29",-5.25%,"2,154.06",0.18%,"1,742.50",-4.54%,"1,411.21",-2.20%,"1,361.83",-3.80%
Jan 2022,"2,016.14",18.90%,"4,250.13",3.04%,"2,195.79",17.96%,"1,344.79",5.86%,"2,489.88",15.59%,"1,865.36",7.05%,"1,469.56",4.13%,"1,411.73",3.66%
Feb 2022,"2,147.89",6.53%,"4,233.02",-0.40%,"2,442.63",11.24%,"1,522.36",13.20%,"2,473.10",-0.67%,"1,744.20",-6.50%,"1,595.74",8.59%,"1,499.12",6.19%
Mar 2022,"2,230.22",3.83%,"4,398.57",3.91%,"2,441.48",-0.05%,"1,776.96",16.72%,"2,153.15",-12.94%,"2,162.30",23.97%,"1,956.88",22.63%,"2,361.13",57.50%
Apr 2022,"2,094.61",-6.08%,"4,284.61",-2.59%,"2,064.31",-15.45%,"1,682.74",-5.30%,"2,145.25",-0.37%,"2,266.17",4.80%,"1,947.51",-0.48%,"2,275.76",-3.62%
May 2022,"1,813.33",-13.43%,"4,098.48",-4.34%,"1,811.19",-12.26%,"1,716.92",2.03%,"2,146.29",0.05%,"2,218.45",-2.11%,"1,962.88",0.79%,"2,079.30",-8.63%
Jun 2022,"1,700.50",-6.22%,"4,030.65",-1.66%,"1,554.50",-14.17%,"1,501.10",-12.57%,"2,146.19",0.00%,"2,000.53",-9.82%,"1,751.76",-10.76%,"1,884.59",-9.36%
Jul 2022,"1,540.53",-9.41%,"4,065.02",0.85%,"1,301.05",-16.30%,"1,056.64",-29.61%,"2,146.19",0.00%,"1,737.34",-13.16%,"1,533.40",-12.47%,"1,556.87",-17.39%
